agent,game_num,score,record,mean_score
Random,3657,0,2,0.131
Random,3658,0,2,0.131
DQN,568,19,55,19.850
Random,3659,0,2,0.131
Random,3660,0,2,0.131
Random,3661,0,2,0.131
Random,3662,1,2,0.131
Random,3663,0,2,0.131
Random,3664,0,2,0.131
Random,3665,0,2,0.131
Random,3666,0,2,0.131
DQN,569,20,55,19.851
A*,251,43,90,51.219
Random,3667,1,2,0.131
Random,3668,0,2,0.131
Random,3669,0,2,0.131
Random,3670,0,2,0.131
Random,3671,0,2,0.131
Random,3672,0,2,0.131
A*,252,16,90,51.079
Random,3673,1,2,0.131
DQN,570,24,55,19.858
Random,3674,0,2,0.131
Random,3675,0,2,0.131
Random,3676,0,2,0.131
Random,3677,0,2,0.131
BFS,247,77,88,51.911
DQN,571,19,55,19.856
Random,3678,0,2,0.131
A*,253,28,90,50.988
Random,3679,0,2,0.131
Random,3680,0,2,0.131
Hamiltonian,8,297,297,297.000
Random,3681,0,2,0.131
Random,3682,0,2,0.131
Random,3683,0,2,0.131
DQN,572,24,55,19.864
Random,3684,1,2,0.131
Random,3685,0,2,0.131
Random,3686,1,2,0.131
Random,3687,0,2,0.131
Random,3688,1,2,0.132
Random,3689,0,2,0.131
Random,3690,0,2,0.131
Random,3691,0,2,0.131
Random,3692,0,2,0.131
Random,3693,0,2,0.131
Random,3694,0,2,0.131
DQN,573,23,55,19.869
Random,3695,1,2,0.132
A*,254,54,90,51.000
BFS,248,54,88,51.919
Random,3696,0,2,0.131
Random,3697,0,2,0.131
Random,3698,0,2,0.131
DQN,574,18,55,19.866
Random,3699,0,2,0.131
Random,3700,0,2,0.131
Random,3701,0,2,0.131
DQN,575,11,55,19.850
Random,3702,0,2,0.131
Random,3703,0,2,0.131
Random,3704,0,2,0.131
DQN,576,11,55,19.835
Random,3705,1,2,0.131
Random,3706,0,2,0.131
DQN,577,6,55,19.811
Random,3707,1,2,0.132
Random,3708,0,2,0.132
A*,255,44,90,50.973
Random,3709,0,2,0.132
DQN,578,16,55,19.804
Random,3710,1,2,0.132
Random,3711,0,2,0.132
BFS,249,54,88,51.928
Random,3712,0,2,0.132
Random,3713,0,2,0.132
Random,3714,0,2,0.132
Random,3715,0,2,0.132
DQN,579,22,55,19.808
Random,3716,0,2,0.132
Random,3717,0,2,0.132
Random,3718,0,2,0.132
Random,3719,0,2,0.131
Random,3720,0,2,0.131
Random,3721,0,2,0.131
Random,3722,1,2,0.132
Random,3723,0,2,0.132
Random,3724,0,2,0.132
Random,3725,0,2,0.132
DQN,580,25,55,19.817
BFS,250,45,88,51.900
Random,3726,0,2,0.132
A*,256,52,90,50.977
Random,3727,0,2,0.131
Random,3728,0,2,0.131
Random,3729,0,2,0.131
Random,3730,0,2,0.131
DQN,581,17,55,19.812
Random,3731,0,2,0.131
Random,3732,1,2,0.132
Random,3733,0,2,0.132
BFS,251,20,88,51.773
Random,3734,0,2,0.131
Random,3735,0,2,0.131
Random,3736,0,2,0.131
Random,3737,1,2,0.132
Random,3738,0,2,0.132
Random,3739,0,2,0.132
DQN,582,30,55,19.830
Random,3740,0,2,0.132
A*,257,47,90,50.961
Random,3741,0,2,0.132
BFS,252,39,88,51.722
Random,3742,0,2,0.131
Random,3743,1,2,0.132
DQN,583,16,55,19.823
Random,3744,1,2,0.132
Random,3745,0,2,0.132
Random,3746,0,2,0.132
Random,3747,0,2,0.132
BFS,253,30,88,51.636
Random,3748,0,2,0.132
DQN,584,29,55,19.839
Random,3749,0,2,0.132
Random,3750,0,2,0.132
Random,3751,0,2,0.132
Random,3752,1,2,0.132
Random,3753,0,2,0.132
A*,258,52,90,50.965
Random,3754,0,2,0.132
Random,3755,0,2,0.132
Random,3756,0,2,0.132
Random,3757,0,2,0.132
Random,3758,0,2,0.132
